Thématique,Niveau,Acronyme,Secret,Nom complet,Création,Description,Description plus simple,PRINCIPAUX LIENS avec,
,Répertoire national,RNIPP,,[Répertoire national d’identification des personnes physiques],1946,"Fichier d’état civil tenu par l’Insee qui recense les NIR (numéro d’inscription au répertoire, dit « numéro de sécu »). Est inscrite d'office toute personne née en France. Environ 100 millions d'entrées (personnes décédées comprises). ","Fichier d’état civil de toute personne née en France (ou française née à l’étranger). Recense les NIR (numéro d’inscription au répertoire, dit « numéro de sécu »).
Utilisé par RNIAM (santé), RNSPS (social), Adonis (impôts) et DUDE (emploi). Permet la gestion du fichier électoral.
Environ 100 millions d’entrées (personnes décédées comprises).","LIEN1: RNIAM; ADONIS (fisc); 
LIEN2: RNCPS; CRISTAL; CJNA (casier)",
ÉDUCATION,Régional,AFFELNET,,[Affectation des élèves par le Net],2008,"Passerelle de tri en fin de cycle, obligatoire pour toute inscription en collège ou lycée (paliers 6e, 3e et 1re).","Passerelle de tri pour toute inscription en classe de 6e, 2de et 1re.",LIEN1: RNIE; ONDE; SIECLE ,
ÉDUCATION,National,APOGEE,,[Application pour l’organisation et la gestion des enseignements et des étudiants],1995,"Gestion des inscriptions et des dossiers étudiants. Contient le NIR. Connecte 90 institutions. 2,7 millions d’étudiants (2019). ","Gestion des inscriptions et des dossiers étudiants. Contient le NIR. Connecte 90 institutions. 2,7 millions d’étudiants (2019). ",LIEN1: RNIE; RNIPP; Parcoursup,
ÉDUCATION,Local,Cantines,,,2010,"Les fichiers de gestion des cantines scolaires peuvent être biométriques (paumes de la main). Progiciels connus : Alise, Turboself. ","Gestion des cantines scolaires, parfois biométriques (paume de la main). Progiciels connus : Alise, Turboself. ",LIEN1: ONDE; SIECLE; PRONOTES,
ÉDUCATION,National,CPA / CPF,,[Compte personnel d’activité],2016,"Parcours professionnel de chaque individu. Le CPF contient une sorte de CV, le « passeport orientation-formation ».",Parcours professionnel et de formation de chaque individu.,"LIEN1: RNIE
LIEN2: Min. EMPLOI",
ÉDUCATION,Régional,LSUN-LSL,,[Livret scolaire unique numérique - Livret scolaire lycées],2016,"LSUN : école et collège (du CP à la 3e) ; LSL : jusqu'à la terminale. Remplacent l'ancien livret personnel de compétences. Peut contenir des données sensibles (comportement, handicaps). ","Suivi des élèves des écoles/collèges (LSUN) et lycées (LSL). Peut contenir des données sensibles (comportement, handicaps). ",LIEN1: SIECLE; ONDE; SDO; parcoursup; CPF,
ÉDUCATION,Régional,MOSART,,[Module de saisie des absences et retenues sur traitement],2010,"Enseignants fichés selon les retenues de salaire pour « service non fait » (grèves, absences).","Enseignants fichés selon les retenues de salaire pour « service non fait » (grèves, absences).",LIEN1: RNIPP,
ÉDUCATION,Régional,ONDE,,[Outil numérique pour la direction d’école],2007,"Ex-Base élèves premier degré (BE1D) renommé en 2017. Accès par chaque municipalité (inscriptions, vérification de l'assiduité). ","Élèves du premier degré. Accès par chaque municipalité (inscriptions, vérification de l'assiduité). ",LIEN1: RNIE; SIECLE; LSUN,
ÉDUCATION,National,PARCOURSUP,,[ex-Admission post-bac],2018,Affectation des bacheliers à un cursus d’études supérieures.,Affectation des bacheliers à un cursus d’études supérieures.,LIEN1: RNIE; Apogée,
ÉDUCATION,Local,Pronote,,,2003,"Logiciel privé installé dans 90 % des collèges et lycées. Utilise Siecle pour gérer vie scolaire (notes, absences, devoirs) et relations profs-parents. ","Logiciel privé installé dans 90 % des collèges et lycées. Utilise Siecle pour gérer la vie scolaire (notes, absences, devoirs) et les relations profs-parents. ",LIEN1: SIECLE; CANTINES,
ÉDUCATION,Répertoire national,RNIE,,"[Répertoire national des identifiants des élèves, étudiants et apprentis]",2012,"Recense les INE (identifiant national élève) attribués à chaque enfant dès l’école maternelle, qui le suivra toute sa vie (pour ses besoins de formation). 12,3 millions d’élèves (2021). ","Recense les INE (identifiant national élève) attribués dès l’école maternelle. 12,3 millions d’élèves (2021). ","LIEN1: Onde; Siecle; SDO, Parcoursup... ",
ÉDUCATION,Régional,SAGESSE,,[Système automatisé de la gestion de la santé en établissement],2001,Base des infirmeries scolaires. Connecté aux bases élèves de chaque établissement. Remontées anonymes aux rectorats.,Base des infirmeries scolaires. Connecté aux bases élèves de chaque établissement. Remontées anonymes aux rectorats.,"LIEN1: SIECLE, ONDE",
ÉDUCATION,National,SDO,,[Suivi de l’orientation],2010,Fichier des élèves « décrocheurs » du second degré. Alimenté par Siecle et relié aux fichiers i-Milo (voir EMPLOI).,Fichier des élèves « décrocheurs » du 2nd degré. Alimenté par Siecle et relié aux fichiers i-Milo.,"LIEN1: RNIE; SIECLE; 
LIEN2: PARCOURS-3",
ÉDUCATION,Régional,SIECLE,,"[Système d’information pour les élèves de collège, de lycée et pour les établissements]",2006,"Ex-fichier Sconet renommé en 2012. Équivalent de la base Onde pour le 2nd degré. Alimente LSUN, SDO (« décrocheurs »). Relié aux espaces numériques de travail (ENT) ou aux progiciels comme Pronote ou de gestion des cantines.","Élèves du 2nd degré. Alimente LSUN, SDO (« décrocheurs »). Relié aux espaces numériques de travail (ENT) ou aux progiciels comme Pronote ou de gestion des cantines.",LIEN1: RNIE; ONDE; LSUN; SDO; +CANTINES,
EMPLOI,Régional,CAP SITERE,,"[Contrôle, action, pilotage-système d’information travail en réseau]",2005,Fichier des inspections du travail. Contient « identités de salariés concernés par certaines procédures » et « statistiques sur le suivi des conflits d’entreprise ».,Fichier des inspections du travail. Contient « identités de salariés concernés par certaines procédures » et « statistiques sur le suivi des conflits d’entreprise ».,"Faire LIEN1 entre Min EMPLOI et RNIPP
LIEN1: Min EMPLOI; 
Lien2: PRECAR-IT",
EMPLOI,National,DUDE,,[Dossier unique du demandeur d’emploi],2008,Fichier national géré par les délégations départementales de Pôle emploi.,Fichier national géré par les délégations départementales de Pôle emploi.,"LIEN1: Min EMPLOI
LIEN2: i-Milo (Parcours-3); ",
EMPLOI,Local,i-Milo,,,2014,Ex-« Parcours 3 ». Fichier des missions locales pour l’emploi. Relié à SDO et aux fichiers sociaux via la demande de RSA.,Fichier des missions locales pour l’emploi. Relié à SDO et aux fichiers sociaux.,"
LIEN2: SDO; SDAS; Dude (Pole emploi)",
EMPLOI,Régional,PRECAR-IT,,Contrôle du travail précaire,2005,Géré par les inspections du travail. Contrats d'intérim et précaires. ,Géré par les inspections du travail. Contrats d'intérim et précaires. ,LIEN2: CAPSITERE,
ENFANCE,Local,ASE,,[Aide sociale à l’enfance],2010,"Ex-DDASS, service départemental de protection de l’enfance. Alimente le fichier des « informations préoccupantes » (CRIP). ",Service départemental de protection de l’enfance. Alimente le fichier des « informations préoccupantes » (CRIP). ,"LIEN1: RNCPS; CRIP; 
LIEN2: ONED",
ENFANCE,Local,Crèches,,,-,Admissions en crèche municipale. Lien possible avec Onde via les mairies (inscription en école maternelle) et avec les fichiers de la CAF (facturation).,Admissions en crèche municipale. Lien possible avec Onde via les mairies (inscription en école maternelle) et avec les fichiers de la CAF (facturation).,LIEN2: ONDE; CRISTAL; ,
ENFANCE,Local,CRIP,,[Cellules de recueil des informations préoccupantes],2007,Données gérées par les conseils départementaux au sein des ASE. Partage possible avec des magistrats.,Géré par les conseils départementaux au sein des ASE. Partage possible avec des magistrats.,LIEN1: ASE,
ENFANCE,Local,PMI,,[Protection maternelle et infantile],-,Services de pédiatrie des mairies ou des départements. Le NIR d'un des parents sert d'identifiant.,Services de pédiatrie des mairies ou des départements. Le NIR d'un des parents sert d'identifiant.,"LIEN1: RNIAM; 
LIEN2: ASE; CRIP",
ENFANCE,Local,Prénatal,,,2000,Signalements de grossesses par les examens prénataux. Le NIR de la mère sert d'identifiant. Transmission à la CAF. ,Signalements de grossesses par les examens prénataux. Le NIR de la mère sert d'identifiant. Transmission à la CAF. ,"LIEN1: RNIAM; 
LIEN2: Cristal",
FISCALITÉ,National,ADONIS,,Accès aux dossiers fiscaux des particuliers,2002,"Géré par la Direction générale des finances publiques. Liens prévus avec fichiers sociaux, santé, emploi...",Géré par la Direction générale des finances publiques.,"LIEN1: Min FINANCES; +lien entre Min Finance et RNIPP 
LIEN2: FICOBA, EVAFISC; SIRIUS",
FISCALITÉ,National,EVAFISC,,[Évasion fiscale],2009,Fichier des comptes bancaires détenus hors de France (sociétés et individus). ,Fichier des comptes bancaires détenus hors de France (sociétés et individus). ,LIEN2: ADONIS; FICOBA; Sirius,
FISCALITÉ,National,FCC,,[Fichier central des chèques],1955,Le fichier central des chèques (FCC) recense les personnes interdites bancaires. Tenu par la Banque de France. ,Interdits bancaires. Tenu par la Banque de France. ,LIEN2: ADONIS; FICOBA; FICP,
FISCALITÉ,National,FICOBA,,Fichier national des comptes bancaires et assimilés,1982,Titulaires de comptes établis en France.  Consultable par la magistrature et la police judiciaire. Env. 80 millions de titulaires de toute nationalité (2018).,Titulaires de comptes établis en France.  Consultable par la magistrature et la police judiciaire. Env. 80 millions (2018).,"LIEN2: ADONIS; FCC; FICP
LIEN2: Min INTER + JUSTICE",
FISCALITÉ,National,FICP,,Fichier des incidents de remboursement des crédits aux particuliers,2010,Fichier des surendettements. Tenu par la Banque de France. ,Dossiers de urendettement. Tenu par la Banque de France. ,LIEN2: FCC; FICOBA; ADONIS,
FISCALITÉ,National,SIRIUS,,Situation fiscale des particuliers et des entreprises,2010,Recoupe données bancaires et fiscales pour détecter anomalies ou fraudes et opérer des redressements.,Recoupe données bancaires et fiscales pour détecter anomalies ou fraudes et opérer des redressements.,LIEN2: tous les autres fichiers FISC,
IMMIGRATION,National,ADGREF,,[Application de gestion des dossiers des ressortissants étrangers en France],1993,Fichier central des étrangers en demande d'un titre de séjour ou en situation irrégulière. Biométrique (visage et empreintes).,Fichier central des étrangers en demande d'un titre de séjour ou en situation irrégulière.,"Lien1: Prénat, RNCPS, RNIPP
LIEN2: FPR; N-SIS-2; Eloi, VIS-VISABIO, Eurodac",Biométrique (visage et empreintes).
IMMIGRATION,National,ELOI,,Traitement pour « faciliter l'éloignement »,2010,Étrangers en voie d'expulsion après placement en centre de rétention. Peut ficher aussi des personnes solidaires.,Étrangers en voie d'expulsion après placement en centre de rétention. Peut ficher aussi des personnes solidaires.,"Lien1: ADGREF; OSCAR; 
Lien2: FRONTEX; EURODAC (EU)",biométrique
IMMIGRATION,Européen,EURODAC,,Base dactylographique européenne,2003,Base de données commune d’empreintes digitales des demandeurs d’asile. Alimentée par chaque pays de l'UE.,Base de données commune d’empreintes digitales des demandeurs d’asile.,LIEN2: ELOI; FRONTEX,biométrique
IMMIGRATION,Européen,JRO-FRONTEX,,,2010,Fichier des « expulsions groupées » (Joint Return Operations) de l'agence européenne Frontex (sécurité des frontières extérieures). En lien avec ELOI en France.,Fichier des « expulsions groupées » (Joint Return Operations) de l'agence Frontex (sécurité des frontières extérieures). En lien avec ELOI.,LIEN2: Europol; N-SIS-2; EURODAC; ELOI; ,
IMMIGRATION,National,OSCAR,,[Outil de statistique et de contrôle de l’aide au retour],2010,Recense les personnes « reconduites » (mineurs compris) ayant reçu une aide financière. Biométrique.,Personnes « reconduites » (mineurs compris) ayant reçu une aide financière. ,LIEN1: ELOI,Biométrique
IMMIGRATION,National,PRÉNAT,,,2009,Centralisation des demandes de naturalisation.,Centralisation des demandes de naturalisation.,LIEN1: ADGREF,
IMMIGRATION,National,VISABIO,,,2010,Demandeurs de visa (contrôle biométrique aux frontières). Partie nationale du fichier européen VIS (Visa Information System).,Demandeurs de visa. Partie du fichier européen VIS (Visa Information System).,LIEN1: VIS,(contrôle biométrique aux frontières)
JUSTICE,National,AEM ,,[Appui à l'évaluation de la minorité],2019,"Fichiers des mineurs isolés, biométrique (empreintes digitales)",Fichiers des mineurs isolés.,"LIEN1 : Cassiopée; EURODAC; 
LIEN2: TAJ",biométrique (empreintes digitales)
JUSTICE,National,CASSIOPEE,,[Chaîne applicative supportant le système d’information orienté procédure pénale et enfants],2011,"Recence toute personne poursuivie. Alimentée par les magistrats, siège ou parquet. Des interfaces spécialisées s'y connectent (pour juges d'instruction, juges des enfants ou d'application des peines, etc.).","Recense toute personne poursuivie. Alimentée par les magistrats, siège ou parquet.","LIEN1: Min JUS; CNJA; Mineurs: DUP; CEF. 
LIEN2: fichiers ASE, Crip... (voir ENFANCE).",biométrique
JUSTICE,National,CJNA,,[Casier judiciaire national automatisé],1966,Automatisé en 1982. Recense les condamnations (faits jugés). Données conservées entre vingt et quarante ans.,Automatisé en 1982. Recense les condamnations (faits jugés). Données conservées entre vingt et quarante ans.,"LIEN1: Cassiopée; ECRIS + autre liens ci-dessous
LIEN2: Rens. INTER + ARMEES",
JUSTICE,Local,DUP,,[Dossier unique de personnalité],2011,Suivi des mineurs connus de la justice. Tenu par la PJJ  dans chaque département.,Suivi des mineurs connus de la justice. Tenu par la PJJ  dans chaque département.,"LIEN1: Cassiopée, CEF (Centres éducatifs fermés).
LIEN2: ASTREE (rens. / mineurs)",
JUSTICE,EU,ECRIS,,European Criminal Records Information System,2012,Base de données de tous les casiers judiciaires des pays de l’UE. En 2022 doit être créé ECRIS-TCN (Third-Country Nationals) : casier des ressortissants d’États tiers et condamnés dans l’UE. ,Tous les casiers judiciaires des pays de l’UE. En 2022 doit être créé ECRIS-TCN (Third-Country Nationals) : casier des ressortissants d’États tiers et condamnés dans l’UE. ,"CJNA; Cassiopée; Europol; SIS-2
LIEN2: PASP-EASP; GIPASP; ( ou Rens. INTER, ARMEE)",
JUSTICE,National,FIJAISV,,[Fichier judiciaire automatisé des auteurs d’infractions sexuelles ou violentes],2005,Élargi aux auteurs de « crimes graves » en 2009. Personnes poursuivies aussi bien que condamnées. ,Élargi aux auteurs de « crimes graves » en 2009. Personnes poursuivies ou condamnées. ,LIEN1: Cassiopée; CJNA (casier); FPR,
JUSTICE,National,FIJAIT,,[Fichier judiciaire automatisé des auteurs d’infractions à caractère terroriste],2015,Personnes condamnées (y compris par un tribunal étranger). Diffère en cela du FSPRT (suspectés).,Personnes condamnées (y compris par un tribunal étranger). Diffère en cela du FSPRT (suspectés).,"Lien1: Cassiopée; CJNA
LIEN2: IST (interdit de sortie); Min INTER; Min ARMEES",
LOGEMENT,Local,115 / SAMU social,,,1997,"Fichiers du 115, services de maraudes actifs dans certaines villes et gérés par des groupements d’intérêt public (GIP).","Fichiers du 115, services de maraudes actifs dans certaines villes, gérés par des groupements d’intérêt public (GIP).",LIEN1: SIAO,
LOGEMENT,National,ADOMA,,,2007,Ex-Sonacotra. Réseau de centres d’hébergement pour réfugiés ou travailleurs étrangers.,Réseau de centres d’hébergement pour réfugiés ou travailleurs étrangers.,LIEN1: SIAO,
LOGEMENT,National,DALORIF,,,2007,"Fichier de gestion des candidatures DALO (droit au logement opposable, loi Borloo, 2007).",Candidatures DALO (droit au logement opposable).,LIEN1: ; RNCPS; Cristal; SIAO,
LOGEMENT,National,DN@,,[Dispositif national d’accueil],1991,Foyers pour réfugiés demandeurs d’asile (géré par l’Office français de l’immigration). Certains foyers Adoma en font partie.,Foyers pour réfugiés demandeurs d’asile (géré par l’Office français de l’immigration).,"LIEN1: SIAO; 
LIEN2: ADGREF (étrangers)",
LOGEMENT,National,SIAO,,[Services intégrés d’accueil et d’orientation],2009,Guichet central pour demandeurs d’hébergement d’urgence. ,Guichet central pour demandeurs d’hébergement d’urgence. ,"(Placer SIAO au centre des fichiers d'hébergement?)
LIEN1: RNCPS, Cristal; FSL; SNE-DLS, Syplo; DN@; DALORIF; SDAS, Samu social, Adoma... 
LIEN2: i-Milo (emploi)",
LOGEMENT,National,SNE-DLS,,[Système national d’enregistrement des demandes de logement social],2011,"Guichet unique national géré ensuite localement (communes, départements, préfectures).","Guichet unique national géré ensuite localement (communes, départements, préfectures).",LIEN1: Cristal; FSL; SIAO,
LOGEMENT,National,SYPLO,,[Système priorité logement],2011,Gestion par les préfets du contingent de logements sociaux réservés aux ménages prioritaires. Inscription à partir des points SIAO.,Gestion par les préfets du contingent de logements sociaux réservés aux ménages prioritaires. Inscription à partir des points SIAO.,LIEN1: RNCPS; Cristal; SIAO,
POLICE,National,ADOC,,Accès aux dossiers des contraventions,2004,"Concernait au départ les infractions routières (radars). Étendu en 2020 à toute « amende forfaitaire », y compris délictuelles (détention de stupéfiants). Accessible aux sociétés de location de voitures. ","Toute amende forfaitaire, y compris délictuelle (détention de stupéfiants). Accessible aux sociétés de location de voitures. ","Lien1: FNPC; TAJ; CASSIOPEE (justice)
LIEN2: FIV (véhicules); SCA (radars); FOVES; ",
POLICE,Local,ANACRIM / MERCURE,,,2012,"Anacrim (gendarmerie), Mercure (police). Outils de rapprochements judiciaires entre différentes enquêtes criminelles.","Anacrim (gendarmerie), Mercure (police). Outils de rapprochements judiciaires entre différentes enquêtes criminelles.",LIEN1: Min INTER; Min ARMEES; ,
POLICE,Européen,EUROPOL,,[Office européen de police],1995,Fichiers d’analyse criminelle (suspects ou condamnés) alimentés par chaque État membre via des « unités nationales de contact ».,Fichiers d’analyse criminelle (suspects ou condamnés).,"LIEN1: TAJ; FPR; N-SIS-2 
LIEN2: FAED, FNAEG; rens INTER + ARMEE",
POLICE,National,FAED,,[Fichier automatisé des empreintes digitales],1987,"Héritier des premiers fichiers anthropométriques (1904). Accessible depuis l’étranger (accords de Prum, Europol, Interpol).","Héritier des premiers fichiers anthropométriques (1904). Accessible depuis l’étranger (accords de Prum, Europol, Interpol).","LIEN1: Cassiopee (justice)
LIEN2: TAJ; FNAEG; PRUM (Eu); Europol",biométrique
POLICE,National,FNAEG,,[Fichier national automatisé des empreintes génétiques],1998,"Centralisé par la police scientifique à Écully (Rhône). Accessible depuis l'étranger (accords de Prum, Europol, Interpol. Fiche 4,8 millions de personnes (2020).","Centralisé par la police scientifique à Écully (Rhône). Accessible depuis l'étranger (accords de Prum, Europol, Interpol). 4,8 millions de personnes (2020).","LIEN1: Cassiopee 
LIEN2: TAJ; FAED; Prum; Europol",biométrique
POLICE,National,FNG-CNI,,[Fichier national de gestion - cartes nationales d’identité],1987,"Carte biométrique. Depuis 2021, la CNI comporte deux empreintes digitales en plus de la photo du visage. Lecture optique facilitée lors de contrôles d'identité. ","Depuis 2021, la CNI comporte deux empreintes digitales en plus de la photo du visage. Lecture optique facilitée lors de contrôles d'identité. ",LIEN1: TES,biométrique
